,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
207,浙江中车电车有限公司,中国中车牌,纯电动城市客车,CSR6125GLEV1,nan,2017,8,2540,11950,3365,17800,"12650,13050",294.90,磷酸铁锂蓄电池,"18.60,18.00",130.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2500,永磁同步牵引电动机,69,nan,nan,nan,500,nan,0.231,nan,nan,配置ID： NC238139
208,浙江中车电车有限公司,中国中车牌,纯电动城市客车,CSR6180GLEV1,nan,2017,8,2540,17945,3350,28000,18100,101.56,钛酸锂电池,9.00,nan,3.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250/2600/3300,正弦控制型永磁同步电机,69,nan,nan,nan,nan,nan,0.183,nan,nan,配置ID： NC230208
209,浙江中车电车有限公司,中国中车牌,纯电动城市客车,CSR6851GLEV1,nan,2017,8,2380,8500,"3100,2950",11000,"6750,6900",104.75,磷酸铁锂蓄电池,12.00,"134.77,134.42",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,252,nan,0.190,nan,nan,配置ID： NC237950
210,浙江宝成机械科技有限公司,宝裕牌,纯电动厢式运输车,ZBJ5030XXYBEV,nan,2017,8,"1660,1630","4900,4550",2350,2510,1380,34.80,三元锂电池,nan,122.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55/8500/180,永磁同步电机,100,nan,nan,180,nan,nan,0.335,nan,nan,配置ID： NC237084
211,中植汽车(淳安)有限公司,四平牌,纯电动客车,SPK6810BEVL,nan,2017,8,2180,8060,"2630,2860",8600,5750,93.84,磷酸铁锂蓄电池,14.10,118.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130/2600/1700,永磁同步电机,100,nan,nan,nan,278,nan,0.225,nan,nan,配置ID： NC229909
212,安庆安达尔汽车制造有限公司,安达尔牌,纯电动城市客车,AAQ6820EVG,nan,2017,8,2390,8160,"3100,3000",12200,"7900,7700",115.20,磷酸铁锂蓄电池,12.70,115.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/3000/2000,永磁同步电机,69,nan,nan,nan,250,nan,0.195,nan,nan,配置ID： NC240482
213,安徽广通汽车制造股份有限公司,安通牌,纯电动厢式运输车,CHG5050XXYBEV,nan,2017,8,2020,5995,2670,4500,3000,49.58,聚合物动力锂离子电池,nan,105.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,110/4000/1000,永磁同步电机,100,nan,nan,nan,160,nan,"0.450,0.470",nan,nan,配置ID： NC191168
214,芜湖中骐汽车制造有限公司,帅骐牌,纯电动城市客车,HL6100BEV01,nan,2017,8,2550,10490,"3050,3200",16500,"10640,10940",167.00,磷酸铁锂蓄电池,15.40,104.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,300,nan,0.190,nan,nan,配置ID： NC236460
215,芜湖中骐汽车制造有限公司,帅骐牌,纯电动城市客车,HL6850BEV01,nan,2017,8,2460,8490,"3035,3120",12200,"8000,8200",96.70,磷酸铁锂蓄电池,10.40,119.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3500/1700,永磁同步电机,69,nan,nan,nan,250,nan,0.180,nan,nan,配置ID： NC236510
216,江西博能上饶客车有限公司,上饶牌,纯电动城市客车,SR6101BEVG2,nan,2017,8,2460,10090,"3050,3200",14500,"9120,9535",164.70,磷酸铁锂蓄电池,14.90,116.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250/3000/2500,永磁同步直流电机,69,nan,nan,nan,286,nan,0.209,nan,nan,配置ID： NC238669
